,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order,absolute
817,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.037764998712556896,784,0.8571796412325122
57,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,recall,0.009783459431254915,56,0.7542394990868772
117,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Aircraft Equipment,recall,0.05322643237421265,112,0.7976824720298349
169,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,recall,0.005609183407252805,168,0.750065223062875
229,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,recall,-0.0003913383772502499,224,0.744064701278372
281,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,recall,0.07044090790503521,280,0.8148969475606574
341,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Aircraft Equipment,recall,0.12981140839978533,336,0.8742674480554076
393,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,recall,0.07878945995303943,392,0.8232454996086617
449,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,recall,0.07135403078528568,448,0.8158100704409079
509,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.10005217845030001,504,0.8445082181059222
565,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.10266110096530134,560,0.8471171406209236
621,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.11244456039655626,616,0.8569006000521785
677,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.05296112705452649,672,0.7974171667101487
733,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.0662666318810331,728,0.8107226715366553
785,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,recall,0.08361596660579185,784,0.8280720062614141
73,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Conflict,recall,0.012702078521939941,56,0.5909353348729792
121,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Conflict,recall,0.2531023600873169,112,0.8313356164383562
185,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Conflict,recall,0.014722863741339465,168,0.5929561200923787
233,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Conflict,recall,0.008660508083140894,224,0.5868937644341802
297,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Conflict,recall,-0.07967667436489612,280,0.49855658198614317
345,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Conflict,recall,0.3352941409092347,336,0.913527397260274
409,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Conflict,recall,-0.03954965357967666,392,0.5386836027713626
465,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Conflict,recall,-0.030311778290993074,448,0.5479214780600462
513,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,recall,0.31437644341801385,504,0.8926096997690531
569,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,recall,0.3270785219399538,560,0.9053117782909931
625,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,recall,0.3366050808314087,616,0.914838337182448
681,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,recall,-0.038106235565819935,672,0.5401270207852193
737,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,recall,0.07765588914549648,728,0.6558891454965358
801,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,recall,0.15819861431870663,784,0.7364318706697459
105,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,0.019796215429403186,56,0.519650655021834
125,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Inflight Event / Encounter,recall,0.2359073412690898,112,0.7357617808615207
217,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,0.016593886462882124,168,0.516448326055313
237,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,-0.0034934497816593857,224,0.4963609898107715
329,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,-0.12372634643377001,280,0.37612809315866086
349,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Inflight Event / Encounter,recall,0.3538605069239033,336,0.8537149465163342
441,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,-0.08617176128093157,392,0.4136826783114993
497,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,recall,-0.10451237263464336,448,0.3953420669577875
517,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,0.25443959243085884,504,0.7542940320232897
573,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,0.27423580786026197,560,0.7740902474526928
629,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,0.30887918486171756,616,0.8087336244541484
685,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,-0.25851528384279476,672,0.2413391557496361
741,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,-0.16040756914119358,728,0.3394468704512373
833,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,recall,-0.0695778748180495,784,0.43027656477438136
65,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,recall,-0.09383886255924173,56,0.4300157977883096
129,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_ATC Issue,recall,0.26410096564293994,112,0.7879556259904913
177,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,recall,-0.09225908372827807,168,0.4315955766192733
241,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,recall,-0.09731437598736176,224,0.4265402843601896
289,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_ATC Issue,recall,-0.18230647709320696,280,0.3415481832543444
353,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_ATC Issue,recall,0.36108987214056276,336,0.8849445324881141
401,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_ATC Issue,recall,-0.15734597156398106,392,0.3665086887835703
457,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_ATC Issue,recall,-0.1570300157977883,448,0.36682464454976305
521,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,0.3608214849921011,504,0.8846761453396524
577,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,0.37788309636650863,560,0.90173775671406
633,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,0.38072669826224326,616,0.9045813586097946
689,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,-0.09605055292259085,672,0.4278041074249605
745,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,0.01642969984202214,728,0.5402843601895735
793,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,recall,0.1093206951026856,784,0.633175355450237
77,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,recall,-0.018475750577367167,56,0.4497690531177829
133,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Altitude,recall,0.4118237285721258,112,0.8800685322672759
189,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,recall,-0.013856812933025375,168,0.4543879907621247
245,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Altitude,recall,0.011547344110854507,224,0.4797921478060046
301,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,recall,-0.3071593533487298,280,0.16108545034642033
357,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Altitude,recall,0.467791746847397,336,0.9360365505425471
413,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,recall,-0.23498845265588914,392,0.23325635103926096
469,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Altitude,recall,-0.2136258660508083,448,0.2546189376443418
525,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,0.4289838337182448,504,0.8972286374133949
581,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,0.44110854503464203,560,0.9093533487297921
637,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,0.4532332563510393,616,0.9214780600461894
693,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,-0.2344110854503464,672,0.2338337182448037
749,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,-0.092378752886836,728,0.3758660508083141
805,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Altitude,recall,-0.02424942263279445,784,0.44399538106235564
85,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,0.02857142857142858,56,0.4093167701863354
137,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Track / Heading,recall,0.40713344626388104,112,0.7878787878787878
197,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,0.011180124223602483,168,0.3919254658385093
249,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,0.02857142857142858,224,0.4093167701863354
309,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,-0.26956521739130435,280,0.11118012422360249
361,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Track / Heading,recall,0.5182445573749922,336,0.898989898989899
421,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,-0.23167701863354034,392,0.14906832298136646
477,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Track / Heading,recall,-0.17080745341614903,448,0.20993788819875778
529,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,0.48633540372670814,504,0.867080745341615
585,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,0.4975155279503106,560,0.8782608695652174
641,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,0.5111801242236025,616,0.8919254658385093
697,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,-0.17950310559006208,672,0.20124223602484473
753,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,-0.08509316770186331,728,0.2956521739130435
813,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Track / Heading,recall,0.015527950310559036,784,0.39627329192546584
101,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.015498652291105086,56,0.3867924528301887
141,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Event / Encounter,recall,0.3681342831298879,112,0.7704253882511817
213,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.018194070080862546,168,0.38409703504043125
253,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.027628032345013487,224,0.3746630727762803
325,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.22641509433962262,280,0.17587601078167117
365,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Event / Encounter,recall,0.4653658833999756,336,0.8676569885212694
437,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.18935309973045822,392,0.21293800539083557
493,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Event / Encounter,recall,-0.21428571428571427,448,0.18800539083557952
533,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,0.41576819407008087,504,0.8180592991913747
589,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,0.4393530997304583,560,0.8416442048517521
645,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,0.45148247978436656,616,0.8537735849056604
701,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,-0.2634770889487871,672,0.13881401617250674
757,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,-0.10040431266846361,728,0.3018867924528302
829,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,0.0444743935309973,784,0.4467654986522911
69,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.0217821782178218,56,0.5867986798679868
145,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2737813125574853,112,0.8387978142076503
181,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.012541254125412515,168,0.5775577557755776
257,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.003960396039603964,224,0.5610561056105611
293,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.09372937293729378,280,0.47128712871287126
369,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.3291091814099443,336,0.8941256830601093
405,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.05478547854785476,392,0.5102310231023103
461,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.10627062706270629,448,0.45874587458745875
537,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.25280528052805273,504,0.8178217821782178
593,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2686468646864686,560,0.8336633663366336
649,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2759075907590759,616,0.8409240924092409
705,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.13729372937293732,672,0.4277227722772277
761,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.02838283828382837,728,0.5366336633663367
797,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.04488448844884485,784,0.6099009900990099
97,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.058550185873606,56,0.5566914498141264
149,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Incursion,recall,0.36883986813495123,112,0.8669811320754717
209,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.05111524163568776,168,0.5492565055762082
261,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.053903345724907015,224,0.5520446096654275
321,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.20724907063197023,280,0.2908921933085502
373,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Incursion,recall,0.43110401907834744,336,0.9292452830188679
433,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.13568773234200743,392,0.362453531598513
489,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.09386617100371747,448,0.40427509293680297
541,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4005576208178439,504,0.8986988847583643
597,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4191449814126394,560,0.9172862453531598
653,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4256505576208179,616,0.9237918215613383
709,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,-0.0511152416356877,672,0.44702602230483274
765,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.019516728624535296,728,0.5176579925650557
825,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.07434944237918212,784,0.5724907063197026
61,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.02487562189054726,56,0.40422885572139305
153,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Airspace Violation,recall,0.40034337514879587,112,0.8294478527607362
173,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.017412935323383116,168,0.4116915422885572
265,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.08333333333333337,224,0.34577114427860695
285,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.31716417910447764,280,0.11194029850746269
377,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Airspace Violation,recall,0.46782803772548304,336,0.8969325153374234
397,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.3009950248756219,392,0.1281094527363184
453,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.32213930348258707,448,0.10696517412935323
545,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.4378109452736318,504,0.8669154228855721
601,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.45646766169154224,560,0.8855721393034826
657,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.46890547263681587,616,0.8980099502487562
713,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.34701492537313433,672,0.08208955223880597
769,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.15920398009950248,728,0.26990049751243783
789,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.09950248756218905,784,0.32960199004975127
