,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order
701,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,-0.2634770889487871,672
757,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,-0.10040431266846361,728
829,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Event / Encounter,recall,0.0444743935309973,784
69,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.0217821782178218,56
145,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2737813125574853,112
181,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.012541254125412515,168
257,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.003960396039603964,224
293,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.09372937293729378,280
369,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.3291091814099443,336
405,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.05478547854785476,392
461,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.10627062706270629,448
537,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.25280528052805273,504
593,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2686468646864686,560
649,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.2759075907590759,616
705,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.13729372937293732,672
761,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,-0.02838283828382837,728
797,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Flight Deck / Cabin / Aircraft Event,recall,0.04488448844884485,784
97,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.058550185873606,56
149,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Incursion,recall,0.36883986813495123,112
209,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.05111524163568776,168
261,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Incursion,recall,0.053903345724907015,224
321,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.20724907063197023,280
373,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Incursion,recall,0.43110401907834744,336
433,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.13568773234200743,392
489,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Incursion,recall,-0.09386617100371747,448
541,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4005576208178439,504
597,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4191449814126394,560
653,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.4256505576208179,616
709,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,-0.0511152416356877,672
765,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.019516728624535296,728
825,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Incursion,recall,0.07434944237918212,784
61,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.02487562189054726,56
153,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Airspace Violation,recall,0.40034337514879587,112
173,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.017412935323383116,168
265,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Airspace Violation,recall,-0.08333333333333337,224
285,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.31716417910447764,280
377,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Airspace Violation,recall,0.46782803772548304,336
397,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.3009950248756219,392
453,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Airspace Violation,recall,-0.32213930348258707,448
545,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.4378109452736318,504
601,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.45646766169154224,560
657,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,0.46890547263681587,616
713,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.34701492537313433,672
769,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.15920398009950248,728
789,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Airspace Violation,recall,-0.09950248756218905,784
81,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation - Speed,recall,0.060952380952380925,56
157,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation - Speed,recall,0.5502932472423998,112
193,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation - Speed,recall,0.03809523809523807,168
269,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation - Speed,recall,-0.024761904761904763,224
305,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation - Speed,recall,-0.29523809523809524,280
381,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation - Speed,recall,0.6199730965832662,336
417,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation - Speed,recall,-0.29714285714285715,392
473,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation - Speed,recall,-0.2876190476190476,448
549,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,0.49333333333333335,504
605,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,0.5123809523809524,560
661,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,0.5257142857142858,616
717,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,-0.28380952380952384,672
773,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,-0.2361904761904762,728
809,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation - Speed,recall,-0.1904761904761905,784
93,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Ground Excursion,recall,-0.006864988558352436,56
161,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Ground Excursion,recall,0.41171778736138,112
205,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Ground Excursion,recall,-0.002288329519450849,168
273,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Ground Excursion,recall,-0.050343249427917625,224
317,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Ground Excursion,recall,-0.4050343249427918,280
385,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Ground Excursion,recall,0.5150831719767647,336
429,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Ground Excursion,recall,-0.3661327231121282,392
485,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Ground Excursion,recall,-0.391304347826087,448
553,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,0.45995423340961095,504
609,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,0.4691075514874141,560
665,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,0.4897025171624714,616
721,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,-0.39359267734553777,672
777,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,-0.1601830663615561,728
821,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Ground Excursion,recall,-0.029748283752860427,784
109,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,0.0,56
165,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_No Specific Anomaly Occurred,recall,0.654046511627907,112
221,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,0.0,168
277,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.008,224
333,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,280
389,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_No Specific Anomaly Occurred,recall,0.7354418604651163,336
445,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,392
501,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,448
557,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,0.496,504
613,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,0.6,560
669,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,0.6,616
725,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,672
781,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,728
837,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_No Specific Anomaly Occurred,recall,-0.032,784
88,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,-0.001977430268442326,56
112,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Deviation / Discrepancy - Procedural,precision,0.04852100443157181,112
200,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,-0.0026554220792370797,168
224,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.0019745437797653587,224
312,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.03787066914440074,280
336,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Deviation / Discrepancy - Procedural,precision,0.09791711128347025,336
424,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.04013356900227483,392
480,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.040889452210463695,448
504,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.0588155552886499,504
560,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.06959653768934027,560
616,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.0771934925885126,616
672,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.020300244055680317,672
728,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.03675646045344716,728
816,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Deviation / Discrepancy - Procedural,precision,0.04535916112141114,784
56,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,precision,-0.005792494945935478,56
116,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Aircraft Equipment,precision,-0.04439232775664159,112
168,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,precision,-0.006508234456862216,168
228,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Aircraft Equipment,precision,-0.009922753464155831,224
280,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,precision,0.05940552966369339,280
340,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Aircraft Equipment,precision,0.0002789831220633143,336
392,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,precision,0.05725988119833347,392
448,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Aircraft Equipment,precision,0.051384150475977,448
508,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,-0.06867175448558838,504
564,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,-0.04867323706651194,560
620,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,-0.02779640956131102,616
676,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,-0.005116030325394205,672
732,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,0.006861598024967441,728
784,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Aircraft Equipment,precision,0.026086650810246192,784
72,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Conflict,precision,-0.0002332011591122951,56
120,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Conflict,precision,-0.21533101312912328,112
184,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Conflict,precision,-0.00316875722739407,168
232,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Conflict,precision,-0.04159520272850703,224
296,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Conflict,precision,0.19667331623745032,280
344,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Conflict,precision,-0.1072954575610271,336
408,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Conflict,precision,0.18886054754951687,392
464,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Conflict,precision,0.176298047723224,448
512,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,precision,-0.20911764602758864,504
568,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,precision,-0.2049972438639917,560
624,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,precision,-0.20029373012714452,616
680,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Conflict,precision,0.11060091340571687,672
736,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Conflict,precision,0.07996028984700465,728
800,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Conflict,precision,0.05808111748551714,784
104,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,-0.022595804554603416,56
124,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_Inflight Event / Encounter,precision,-0.21373786694327085,112
216,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,-0.030484075635701546,168
236,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,-0.057138675193702415,224
328,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,0.20077064539659417,280
348,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_Inflight Event / Encounter,precision,-0.18456994441863778,336
440,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,0.1703591627683989,392
496,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_Inflight Event / Encounter,precision,0.15669893698076343,448
516,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,-0.23770875540311992,504
572,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,-0.22429333046065425,560
628,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,-0.20198606924818802,616
684,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,0.21181833269549843,672
740,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,0.16500120573105959,728
832,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_Inflight Event / Encounter,precision,0.14654545833618893,784
64,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 12,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,precision,-0.026649935054928076,56
128,BoW Unsupervised feature selection,Decision Tree/PP/Under sampling/exclude_numerics;min_df = 12,Decision Tree,1,1,Anomaly_ATC Issue,precision,-0.2631790541042834,112
176,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 100,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,precision,-0.03542024347525241,168
240,BoW Unsupervised feature selection,DecisionTreeClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,DecisionTreeClassifier,1,0,Anomaly_ATC Issue,precision,-0.09908930628364554,224
288,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 12,RandomForestClassifier,1,0,Anomaly_ATC Issue,precision,0.2093130320840454,280
352,BoW Unsupervised feature selection,Random Forest/PP/Under sampling/exclude_numerics;min_df = 12,Random Forest,1,1,Anomaly_ATC Issue,precision,-0.19392378523426923,336
400,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 100,RandomForestClassifier,1,0,Anomaly_ATC Issue,precision,0.1973057724395756,392
456,BoW Unsupervised feature selection,RandomForestClassifier/PP/Std sampling/exclude_numbers; min_df = 1600,RandomForestClassifier,1,0,Anomaly_ATC Issue,precision,0.18777839597184742,448
520,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,precision,-0.23572022983950858,504
576,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:1000_PP,naive bayes,1,0,Anomaly_ATC Issue,precision,-0.23767797280005742,560
632,BoW Unsupervised feature selection,naive bayes_countvectorizer_vocab_size:3000_PP,naive bayes,1,0,Anomaly_ATC Issue,precision,-0.22720470021039602,616
688,BoW Unsupervised feature selection,naive bayes_tfidfvectorizer_vocab_size:500_PP,naive bayes,1,0,Anomaly_ATC Issue,precision,0.05083174343825814,672
